Day,Hour,RingerMode,RingerModeChangedMin,Charging,ChargingChangedMin,ScreenOn,ScreenChangedMin,Proximity,Pitch,MaxAcc,CalledHowManyTimes,TimeSinceLastCall,LastCallPicked,Picked
4,17,Normal,11.62,0,407.48,1,0.1,1,148,0.002982,2,291.63,0,Baseline
6,12,Normal,263.78,0,263.78,1,0.4,0,0,3.041457,1,1378.32,1,Baseline
0,17,Normal,477.28,0,247.57,1,0.12,0,0,0.00203,88,276.78,1,Baseline
0,18,Normal,571.17,0,341.45,0,1,1,-18,4.861886,2,73.88,0,Picked
0,12,Normal,333.57,0,333.57,0,0.78,1,109,0.216981,2,81.5,1,Picked
0,13,Normal,429.92,0,429.92,1,0.28,1,-45,0.006732,1,96.35,1,Baseline
2,14,Normal,82.13,0,410.02,0,0.87,1,-134,0.000596,1,1049.85,0,Picked
1,17,Normal,775.07,0,530.13,1,0.33,1,-2,0.002306,1,252.28,1,Baseline
2,10,Normal,357.9,0,149.53,1,1.32,0,-1,3.824409,1,6.73,0,Picked
2,13,Normal,510.83,0,302.47,1,0.58,0,-1,3.352716,1,152.93,1,Picked
2,18,Normal,814.92,0,606.55,1,0.58,0,0,0.00951,1,217.73,0,Picked
3,13,Normal,542.13,0,301.43,1,0.45,0,-1,6.603243,1,221.58,1,Picked
3,15,Normal,640.37,0,399.67,1,0.92,0,-1,3.703257,2,98.23,1,Picked
3,15,Normal,678.6,0,437.9,1,0.08,0,-1,0.002083,4,28.68,1,Picked
3,18,Normal,816.6,0,575.9,1,4.37,1,104,3.40586,5,138,1,Picked
3,18,Normal,852.57,0,611.87,1,2.57,0,-1,3.215866,1,32.92,1,Picked
3,20,Normal,954.22,0,713.52,1,2.18,0,-1,3.256414,3,22.43,1,Picked
4,14,Normal,594.27,0,374.45,1,293.57,1,-8,0.012624,3,28.85,0,Baseline
5,14,Normal,234.2,0,234.2,0,6.48,1,150,0.011423,1,1118.27,1,Baseline
5,19,Normal,1.02,0,1.02,1,1.02,1,-167,0.018452,4,1.1,0,Baseline
6,12,Normal,189.55,0,189.55,1,0.42,0,-5,3.183149,5,1013.78,0,Picked
0,9,Normal,672.75,0,134.43,1,2.78,0,-1,4.005086,2,1232.27,1,Picked
0,14,Normal,1005.55,0,467.23,1,0.43,0,-1,5.806788,3,30.2,1,Picked
0,17,Normal,1179.28,0,640.97,1,0.87,0,-1,4.061905,4,65.33,1,Picked
0,17,Normal,1189.42,0,651.1,1,0.52,1,-6,0.00012,5,10.13,1,Baseline
0,21,Normal,1394.97,0,856.65,0,4.52,0,-17,0.001764,2,124.3,0,Picked
1,9,Normal,372.57,0,22.7,1,6.88,0,-4,0.240843,7,610.68,1,Picked
1,10,Normal,19.2,0,19.2,1,3.37,0,-24,0.04288,5,78.62,1,Picked
1,11,Normal,91.2,0,91.2,1,9.05,0,-2,0.109707,1,21.7,1,Picked
1,18,Normal,229.65,0,229.65,1,0.45,0,-74,0.028891,5,1.63,0,Baseline
2,10,Normal,46.5,0,46.5,1,0.63,0,20,4.57793,1,36.12,1,Picked
2,13,Normal,210.67,0,210.67,0,1.08,0,-1,0.036619,1,164.17,1,Picked
2,15,Normal,387.87,0,387.87,0,0.15,0,-1,3.279371,2,177.2,1,Picked
2,16,Normal,399.42,0,399.42,1,0.32,0,-1,3.045711,1,11.55,1,Picked
2,16,Normal,407.43,0,407.43,1,8.33,0,0,0.011461,2,8.02,1,Picked
0,13,Normal,180.07,0,714.62,1,0.03,0,-1,0.006881,3,2.93,0,Baseline
0,19,Normal,591.28,0,1125.83,1,0.58,0,0,4.004889,9,1.35,1,Picked
1,20,Normal,763.28,0,763.28,1,0.22,0,0,0.015975,3,192.95,1,Baseline
2,15,Normal,45.33,0,45.33,0,5.93,0,0,0.015299,1,205.87,1,Baseline
2,17,Normal,200.05,0,200.05,1,11.08,0,-1,0.002253,10,4.82,1,Picked
2,17,Normal,200.47,0,200.47,1,0.18,0,-1,3.292264,11,0.42,1,Picked
3,11,Normal,860.47,0,147.62,1,9.55,0,0,4.430141,1,1048.72,1,Picked
3,11,Normal,899.57,0,186.72,1,3.83,0,0,0.006567,1,39.1,1,Picked
3,13,Normal,979.78,0,266.93,1,2.53,0,0,3.47247,1,80.22,1,Picked
3,15,Normal,1153.02,0,440.17,1,3.62,0,0,0.003113,2,173.23,1,Picked
4,17,Normal,1235.82,0,562.9,1,0.63,0,-3,0.002058,1,5.97,1,Picked
5,15,Normal,307.7,0,307.7,1,0.23,1,157,3.228938,7,144.48,1,Baseline
0,13,Normal,831.88,0,331.98,1,8.28,0,-1,3.299629,1,1338.42,0,Picked
0,14,Normal,850.47,0,350.57,1,3.05,0,-1,0.006367,2,18.58,1,Picked
1,14,Normal,36.27,0,36.27,1,5.02,0,-1,0.002358,1,289.65,1,Picked
1,21,Normal,371.43,0,371.43,1,0.3,0,-1,0.008352,4,2.92,0,Baseline
2,7,Normal,259.88,0,36.08,1,0.32,0,-115,6.066889,2,606.23,0,Baseline
2,12,Normal,555.7,0,331.9,1,0.32,0,-1,0.001129,2,174.37,1,Baseline
2,13,Normal,55.52,0,55.52,1,1.25,0,-1,0.71267,3,38.68,1,Picked
